MUNICÍPIO,CONFIRMADO,MORTES,LETALIDADE,COD. IBGE,LATITUDE,LONGITUDE
Leme,3.0,2.0,"66,7%",3526704.0,"-22,1809","-47,3841"
Lençóis Paulista,3.0,0.0,"0,0%",3526803.0,"-22,6027","-48,8037"
Limeira,7.0,1.0,"14,3%",3526902.0,"-22,566","-47,397"
Lins,1.0,1.0,"100,0%",3527108.0,"-21,6718","-49,7526"
Lorena,1.0,0.0,"0,0%",3527207.0,"-22,7334","-45,1197"
Louveira,1.0,0.0,"0,0%",3527306.0,"-23,0856","-46,9484"
Macatuba,1.0,0.0,"0,0%",3528007.0,"-22,5002","-48,7102"
Macedônia,1.0,0.0,"0,0%",3528205.0,"-20,1444","-50,1973"
Mairinque,1.0,0.0,"0,0%",3528403.0,"-23,5398","-47,185"
Mairiporã,9.0,2.0,"22,2%",3528502.0,"-23,3171","-46,5897"
Marília,7.0,1.0,"14,3%",3529005.0,"-22,2171","-49,9501"
Matão,3.0,0.0,"0,0%",3529302.0,"-21,6025","-48,364"
Mauá,66.0,2.0,"3,0%",3529401.0,"-23,6677","-46,4613"
Mirassol,7.0,0.0,"0,0%",3530300.0,"-20,8169","-49,5206"
Mococa,2.0,1.0,"50,0%",3530508.0,"-21,4647","-47,0024"
Mogi das Cruzes,80.0,5.0,"6,3%",3530607.0,"-23,5208","-46,1854"
Mogi Guaçu,6.0,1.0,"16,7%",3530706.0,"-22,3675","-46,9428"
Mogi Mirim,1.0,0.0,"0,0%",3530805.0,"-22,4332","-46,9532"
Mongaguá,2.0,1.0,"50,0%",3531100.0,"-24,0809","-46,6265"
Monte Alto,5.0,1.0,"20,0%",3531308.0,"-21,2655","-48,4971"
Monte Mor,1.0,0.0,"0,0%",3531803.0,"-22,945","-47,3122"
Morro Agudo,2.0,0.0,"0,0%",3531902.0,"-20,7288","-48,0581"
Morungaba,1.0,0.0,"0,0%",3532009.0,"-22,8811","-46,7896"
Nhandeara,1.0,0.0,"0,0%",3532603.0,"-20,6945","-50,0436"
Nova Odessa,1.0,1.0,"100,0%",3533403.0,"-22,7832","-47,2941"
Olímpia,4.0,0.0,"0,0%",3533908.0,"-20,7366","-48,9106"
Orlândia,4.0,0.0,"0,0%",3534302.0,"-20,7169","-47,8852"
Osasco,172.0,16.0,"9,3%",3534401.0,"-23,5324","-46,7916"
Ourinhos,1.0,0.0,"0,0%",3534708.0,"-22,9797","-49,8697"
Pariquera-Açu,2.0,0.0,"0,0%",3536208.0,"-24,7147","-47,8742"
Paulínia,5.0,0.0,"0,0%",3536505.0,"-22,7542","-47,1488"
Pederneiras,1.0,0.0,"0,0%",3536703.0,"-22,3511","-48,7781"
Pedra Bela,1.0,0.0,"0,0%",3536802.0,"-22,7902","-46,4455"
Penápolis,1.0,1.0,"100,0%",3537305.0,"-21,4148","-50,0769"
Peruíbe,4.0,0.0,"0,0%",3537602.0,"-24,312","-47,0012"
Pilar do Sul,3.0,0.0,"0,0%",3537909.0,"-23,8077","-47,7222"
Pindamonhangaba,2.0,1.0,"50,0%",3538006.0,"-22,9246","-45,4613"
Pindorama,1.0,0.0,"0,0%",3538105.0,"-21,1853","-48,9086"
Piracicaba,17.0,1.0,"5,9%",3538709.0,"-22,7338","-47,6476"
Pirajuí,1.0,0.0,"0,0%",3538907.0,"-21,999","-49,4608"
Piratininga,1.0,0.0,"0,0%",3539400.0,"-22,4142","-49,1339"
Poá,11.0,2.0,"18,2%",3539806.0,"-23,5333","-46,3473"
Pontal,4.0,0.0,"0,0%",3540200.0,"-21,0216","-48,0423"
Porto Feliz,1.0,0.0,"0,0%",3540606.0,"-23,2093","-47,5251"
Porto Ferreira,2.0,1.0,"50,0%",3540705.0,"-21,8498","-47,487"
Praia Grande,27.0,6.0,"22,2%",3541000.0,"-24,0084","-46,4121"
Pratânia,2.0,0.0,"0,0%",3541059.0,"-22,8112","-48,6636"
Presidente Prudente,4.0,2.0,"50,0%",3541406.0,"-22,1207","-51,3925"
Presidente Venceslau,5.0,2.0,"40,0%",3541505.0,"-21,8732","-51,8447"
Promissão,2.0,0.0,"0,0%",3541604.0,"-21,5356","-49,8599"
Ribeirão Pires,23.0,0.0,"0,0%",3543303.0,"-23,7067","-46,4058"
Ribeirão Preto,65.0,5.0,"7,7%",3543402.0,"-21,1699","-47,8099"
Rincão,1.0,0.0,"0,0%",3543709.0,"-21,5894","-48,0728"
Rinópolis,1.0,0.0,"0,0%",3543808.0,"-21,7284","-50,7239"
Rio Claro,8.0,2.0,"25,0%",3543907.0,"-22,3984","-47,5546"
Rio Grande da Serra,7.0,0.0,"0,0%",3544103.0,"-23,7437","-46,3971"
Salto,3.0,0.0,"0,0%",3545209.0,"-23,1996","-47,2931"
Salto de Pirapora,2.0,0.0,"0,0%",3545308.0,"-23,6474","-47,5743"
Santa Bárbara d'Oeste,1.0,0.0,"0,0%",3545803.0,"-22,7553","-47,4143"
Santa Branca,2.0,1.0,"50,0%",3546009.0,"-23,3933","-45,8875"
Santa Cruz do Rio Pardo,5.0,0.0,"0,0%",3546405.0,"-22,8988","-49,6354"
Santa Isabel,1.0,1.0,"100,0%",3546801.0,"-23,3172","-46,2237"
Santa Lúcia,1.0,0.0,"0,0%",3546900.0,"-21,685","-48,0885"
Santana de Parnaíba,41.0,0.0,"0,0%",3547304.0,"-23,4439","-46,9178"
Santo André,186.0,6.0,"3,2%",3547809.0,"-23,6737","-46,5432"
Santos,216.0,12.0,"5,6%",3548500.0,"-23,9535","-46,335"
São Bernardo do Campo,231.0,15.0,"6,5%",3548708.0,"-23,6914","-46,5646"
São Caetano do Sul,85.0,3.0,"3,5%",3548807.0,"-23,6229","-46,5548"
São Carlos,6.0,2.0,"33,3%",3548906.0,"-22,0174","-47,886"
São João da Boa Vista,4.0,0.0,"0,0%",3549102.0,"-21,9707","-46,7944"
São José do Rio Pardo,1.0,0.0,"0,0%",3549706.0,"-21,5953","-46,8873"
São José do Rio Preto,61.0,3.0,"4,9%",3549805.0,"-20,8113","-49,3758"
São José dos Campos,113.0,3.0,"2,7%",3549904.0,"-23,1896","-45,8841"
São Manuel,3.0,1.0,"33,3%",3550100.0,"-22,7321","-48,5723"
São Miguel Arcanjo,2.0,0.0,"0,0%",3550209.0,"-23,8782","-47,9935"
São Paulo,7764.0,558.0,"7,2%",3550308.0,"-23,5329","-46,6395"
São Pedro,1.0,0.0,"0,0%",3550407.0,"-22,5483","-47,9096"
São Roque,5.0,0.0,"0,0%",3550605.0,"-23,5226","-47,1357"
São Sebastião,4.0,1.0,"25,0%",3550704.0,"-23,7951","-45,4143"
São Vicente,27.0,0.0,"0,0%",3551009.0,"-23,9574","-46,3883"
Sertãozinho,6.0,0.0,"0,0%",3551702.0,"-21,1316","-47,9875"
Sorocaba,29.0,3.0,"10,3%",3552205.0,"-23,4969","-47,4451"
Sumaré,3.0,0.0,"0,0%",3552403.0,"-22,8204","-47,2728"
Suzano,44.0,6.0,"13,6%",3552502.0,"-23,5448","-46,3112"
Taboão da Serra,92.0,5.0,"5,4%",3552809.0,"-23,6019","-46,7526"
Tanabi,1.0,0.0,"0,0%",3553401.0,"-20,6228","-49,6563"
Tatuí,6.0,0.0,"0,0%",3554003.0,"-23,3487","-47,8461"
Taubaté,8.0,0.0,"0,0%",3554102.0,"-23,0104","-45,5593"
Terra Roxa,1.0,0.0,"0,0%",3554409.0,"-20,787","-48,3314"
Tupã,1.0,0.0,"0,0%",3555000.0,"-21,9335","-50,5191"
Ubatuba,2.0,0.0,"0,0%",3555406.0,"-23,4332","-45,0834"
Valinhos,7.0,1.0,"14,3%",3556206.0,"-22,9698","-46,9974"
Vargem Grande Paulista,5.0,3.0,"60,0%",3556453.0,"-23,5993","-47,022"
Várzea Paulista,1.0,0.0,"0,0%",3556503.0,"-23,2136","-46,8234"
Vinhedo,8.0,0.0,"0,0%",3556701.0,"-23,0302","-46,9833"
Votorantim,3.0,0.0,"0,0%",3557006.0,"-23,5446","-47,4388"
Votuporanga,6.0,0.0,"0,0%",3557105.0,"-20,4237","-49,9781"
Outros estados,44.0,0.0,"0,0%",,,
Outros países,39.0,0.0,"0,0%",,,
Ignorado,9.0,0.0,"0,0%",,,
